,title,publisher,img,release_date,critic_score,console
399,Altitude,Nimbly Games,/games/boxart/full_3350423AmericaFrontccc.jpg,2009-12-04,7.9,PC
401,Alvin and the Chipmunks: Chipwrecked,Majesco,/games/boxart/full_alvin-and-the-chipmunks-chipwrecked_806AmericaFront.jpg,2011-11-15,2.4,X360
402,Always Remember Me,Winter Wolves Game Studio,/games/boxart/default.jpg,2011-04-17,7.0,PC
406,Amazing Princess Sarah,Haruneko,/games/boxart/full_6710818AmericaFrontccc.jpg,2014-07-09,7.2,"X360, PC"
409,Ambition of the Slimes,Flyhigh Works,/games/boxart/full_9903801AmericaFrontccc.png,2018-01-18,5.9,NS
410,America's Army 3,U.S. Army,/games/boxart/default.jpg,2009-06-17,7.0,PC
413,American Fugitive,Curve Digital,/games/boxart/full_7992006PALFrontccc.jpg,2019-05-23,6.6,NS
418,American Truck Simulator,SCS Software,/games/boxart/full_1272246AmericaFrontccc.jpg,2016-02-02,7.6,PC
419,Amnesia: A Machine for Pigs,Frictional Games,/games/boxart/full_7554803AmericaFrontccc.jpg,2013-09-10,7.2,PC
420,Amnesia: Memories,Idea Factory International,/games/boxart/full_4304926AmericaFrontccc.jpg,2015-08-25,7.2,PC
421,Amnesia: Rebirth,Frictional Games,/games/boxart/full_6521118AmericaFrontccc.jpg,2020-10-20,8.0,"PS4, PC"
422,Amnesia: The Dark Descent,Unknown,/games/boxart/full_amnesia-the-dark-descent_482AmericaFront.jpg,2010-09-08,8.7,PC
423,Among The Sleep,Krillbite Studio,/games/boxart/full_5089245PALFrontccc.jpg,2014-05-29,6.6,"PC, XOne, PS4"
425,Among the Sleep,Krillbite Studio,/games/boxart/full_5329004AmericaFrontccc.jpg,2019-05-29,6.6,NS
430,Analogue: A Hate Story,Love Conquers All Games,/games/boxart/full_5735614AmericaFrontccc.jpg,2012-04-27,6.2,PC
431,Anarchy Reigns,Sega,/games/boxart/full_anarchy-reigns_884PALFront.jpg,2013-01-08,7.3,"X360, PS3"
432,Ancestors: The Humankind Odyssey,Private Division,/games/boxart/full_9538796AmericaFrontccc.jpg,2019-08-27,6.4,"PC, XOne, PS4"
434,Ancients of Ooga,NinjaBee,/games/boxart/full_ancients-of-ooga_477AmericaFront.jpg,2010-06-30,6.9,PC
436,And Yet It Moves,Broken Rules,/games/boxart/full_7560185AmericaFrontccc.jpg,2009-04-02,8.0,PC
445,Angry Birds,Unknown,/games/boxart/full_angry-birds_806AmericaFront.jpg,2011-01-04,8.8,"PC, X360"
446,Angry Birds Space,Focus,/games/boxart/default.jpg,2012-05-10,8.3,PC
447,Angry Birds Trilogy,Activision,/games/boxart/full_3320456AmericaFrontccc.jpg,2012-09-25,6.3,"X360, PS3"
448,Angry Birds: Rio,Focus Home Interactive,/games/boxart/full_angry-birds-rio_801PALFront.jpg,2011-11-25,8.7,PC
449,Angry Birds: Star Wars,Rovio Mobile,/games/boxart/full_4398546AmericaFrontccc.jpg,2012-11-08,8.8,"PC, X360, PS3, PS4, XOne"
452,Angry Video Game Nerd Adventures,Screenwave Media,/games/boxart/full_8450238AmericaFrontccc.jpg,2013-09-20,7.7,PC
454,Animal Crossing: New Horizons,Nintendo,/games/boxart/full_5208890AmericaFrontccc.jpg,2020-03-20,9.0,NS
455,Animal Force,Oasis Games Ltd.,/games/boxart/full_8327673AmericaFrontccc.jpg,2018-07-10,5.7,PS4
457,Anna‘s Quest,Daedalic Entertainment,/games/boxart/default.jpg,2015-07-02,7.4,PC
458,Anno 1800,Ubisoft,/games/boxart/full_4963434AmericaFrontccc.jpg,2019-04-16,8.1,PC
